trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,12,-69.22872022176331,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-198.65054975097752,"{0: 10, 1: 5, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-103.77649934764626,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-65.56933285397884,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-119.29999197964497,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-87.37493860222779,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,18,0.3394581571804982,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-41.80379231079095,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,6,-69.05244641203554,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,6,-19.708897820549655,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,5,6.892867544469703,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-77.58721107745743,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-66.9260199397713,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-29.61031917159211,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,11,-62.38982860824175,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,13,-47.65665336927192,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,12,7.0099378128171645,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,17,19.23740919114661,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,7,-44.61733180420825,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,4,-19.716590696775484,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,12,15.1135974392737,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-11.565888910752602,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,9.625880721736793,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,12.638838181569552,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,25.86943614217428,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,3,33.30696160781421,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,19,-1.9914818491433857,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,5,-19.099352876280573,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,1,43.839577427823876,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",35,5,14.987083958675006,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,4,17.109807277991255,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",35,24,15.30414425136033,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,8,29.17963485796921,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,15,20.231572768725467,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,19,17.49407664793901,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,3,8.220374068568352,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,17,16.11744196156647,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,16,7.534730985618815,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,11,14.53016363019037,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
