trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,6,-43.93152021320867,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-80.46001271176544,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.985}",35,0,-165.0770731983448,"{0: 23, 1: 4, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.98}",25,0,-128.4895175940489,"{0: 13, 1: 6, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",25,0,-246.13477674584638,"{0: 8, 1: 4, 2: 7, 3: 4, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.97}",25,19,-12.278491313937907,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.965}",25,0,-65.0773295148829,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.96}",25,0,-111.91895870896184,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",25,0,-155.2751886779812,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.95}",25,0,-119.66892207823612,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-38.54109518341575,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-112.56225231717211,"{0: 9, 1: 4, 2: 4, 3: 3, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",30,0,-39.3500598121772,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,0,-167.33252332676102,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",25,0,-120.48744577571377,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-91.39110981529737,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,0,-187.55108800445842,"{0: 8, 1: 2, 2: 5, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-53.375371234698314,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
