trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-180.73175105481414,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-23.02780255793574,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.985}",25,0,-88.57430854519431,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-153.72585802195286,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-108.15941958556519,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.97}",25,0,-69.02238527112871,"{0: 17, 1: 4, 2: 1, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.965}",25,0,-198.9127250583147,"{0: 10, 1: 6, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.96}",25,0,-122.71820253577668,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-171.14354132887993,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-123.83252543425839,"{0: 9, 1: 2, 2: 6, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-124.20448622182936,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-64.60393257009534,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-128.4935483443563,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,0,-209.08565194700566,"{0: 17, 1: 5, 2: 4, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",30,0,-203.6597546879245,"{0: 16, 1: 5, 2: 4, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,18,12.009931843733254,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-196.64979246760987,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",30,0,-102.4180160860375,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-172.93235093387403,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-252.3276414696042,"{0: 12, 1: 3, 2: 3, 3: 3, 4: 4}",0
1,True,"{'a': 0, 'e': 0}",25,0,-58.49675180457469,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-200.10424358293943,"{0: 8, 1: 1, 2: 8, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-163.58434218511752,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",30,0,-166.59408716044953,"{0: 15, 1: 8, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-118.13193906682875,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-114.96669849026634,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-99.6483021536097,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-98.55527985651646,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,-92.06886194281145,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-110.48927582493963,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",25,11,-79.3539346969342,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 1}",1
12,True,"{'a': 0, 'e': 0}",20,0,-121.36592641324512,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
13,True,"{'a': 0, 'e': 0}",20,0,-121.24691717272896,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
14,True,"{'a': 0, 'e': 0}",20,0,-120.29356286135604,"{0: 8, 1: 5, 2: 4, 3: 3, 4: 0}",0
15,True,"{'a': 0, 'e': 0}",35,0,-235.77789593214618,"{0: 17, 1: 9, 2: 4, 3: 2, 4: 3}",0
16,True,"{'a': 0, 'e': 0}",20,0,-64.70257344419784,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,True,"{'a': 0, 'e': 0}",25,0,-203.57316727035683,"{0: 9, 1: 6, 2: 6, 3: 2, 4: 2}",0
18,True,"{'a': 0, 'e': 0}",25,0,-114.85027013763643,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
19,True,"{'a': 0, 'e': 0}",25,0,-62.82299735884973,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",20,0,-206.28687986272286,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 4}",0
